slug,wide,wide_size,fourThree,fourThree_size,square,square_size,unique,seo_integrated,issues
could-ai-kill-us-all,public/assets/articles/could-ai-kill-us-all-1600x900.webp,1600x900,public/assets/articles/could-ai-kill-us-all-1200x900.webp,1200x900,public/assets/articles/could-ai-kill-us-all-1200x1200.webp,1200x1200,True,True,
how-could-ai-kill-humanity,public/assets/articles/how-could-ai-kill-humanity-1600x900.webp,1600x900,public/assets/articles/how-could-ai-kill-humanity-1200x900.webp,1200x900,public/assets/articles/how-could-ai-kill-humanity-1200x1200.webp,1200x1200,True,True,
will-ai-kill-us-within-10-years,public/assets/articles/will-ai-kill-us-within-10-years-1600x900.webp,1600x900,public/assets/articles/will-ai-kill-us-within-10-years-1200x900.webp,1200x900,public/assets/articles/will-ai-kill-us-within-10-years-1200x1200.webp,1200x1200,True,True,
ai-alignment-problem-explained,public/assets/articles/ai-alignment-problem-explained-1600x900.webp,1600x900,public/assets/articles/ai-alignment-problem-explained-1200x900.webp,1200x900,public/assets/articles/ai-alignment-problem-explained-1200x1200.webp,1200x1200,True,True,
agi-vs-superintelligence-risks,public/assets/articles/agi-vs-superintelligence-risks-1600x900.webp,1600x900,public/assets/articles/agi-vs-superintelligence-risks-1200x900.webp,1200x900,public/assets/articles/agi-vs-superintelligence-risks-1200x1200.webp,1200x1200,True,True,
can-ai-become-uncontrollable,public/assets/articles/can-ai-become-uncontrollable-1600x900.webp,1600x900,public/assets/articles/can-ai-become-uncontrollable-1200x900.webp,1200x900,public/assets/articles/can-ai-become-uncontrollable-1200x1200.webp,1200x1200,True,True,
ai-cyberattacks-critical-infrastructure,public/assets/articles/ai-cyberattacks-critical-infrastructure-1600x900.webp,1600x900,public/assets/articles/ai-cyberattacks-critical-infrastructure-1200x900.webp,1200x900,public/assets/articles/ai-cyberattacks-critical-infrastructure-1200x1200.webp,1200x1200,True,True,
ai-biosecurity-risks,public/assets/articles/ai-biosecurity-risks-1600x900.webp,1600x900,public/assets/articles/ai-biosecurity-risks-1200x900.webp,1200x900,public/assets/articles/ai-biosecurity-risks-1200x1200.webp,1200x1200,True,True,
autonomous-weapons-ai-war,public/assets/articles/autonomous-weapons-ai-war-1600x900.webp,1600x900,public/assets/articles/autonomous-weapons-ai-war-1200x900.webp,1200x900,public/assets/articles/autonomous-weapons-ai-war-1200x1200.webp,1200x1200,True,True,
humanoid-robots-risk-safety,public/assets/articles/humanoid-robots-risk-safety-1600x900.webp,1600x900,public/assets/articles/humanoid-robots-risk-safety-1200x900.webp,1200x900,public/assets/articles/humanoid-robots-risk-safety-1200x1200.webp,1200x1200,True,True,
is-ai-conscious-sentient,public/assets/articles/is-ai-conscious-sentient-1600x900.webp,1600x900,public/assets/articles/is-ai-conscious-sentient-1200x900.webp,1200x900,public/assets/articles/is-ai-conscious-sentient-1200x1200.webp,1200x1200,True,True,
how-to-prevent-catastrophic-ai-risk,public/assets/articles/how-to-prevent-catastrophic-ai-risk-1600x900.webp,1600x900,public/assets/articles/how-to-prevent-catastrophic-ai-risk-1200x900.webp,1200x900,public/assets/articles/how-to-prevent-catastrophic-ai-risk-1200x1200.webp,1200x1200,True,True,
